msid,site_name,url,catalog_version,is_premium,is_store_premium,products_count,variants_count,orders_last_30d,gpv_last_30d_usd,first_ready_date,store_creation_date,is_published
1409988e-97cb-4f05-bde9-b03a5ffa2f79,queen-peptides,https://queenpeptides.wixsite.com/queen-peptides,V3,1,1,89,125,548,99732.36,2025-11-01,2025-10-30,True
8c9b7681-977f-49dd-a05a-cf3886573e2f,health-and-wellness,https://admin155353.wixsite.com/health-and-wellness,V3,1,1,23,90,564,95790.9,2025-12-28,2025-12-23,True
9bca2286-690b-4031-aa0b-b50d78c8509d,garage-usa,https://saratemal10.wixsite.com/garage-usa,V3,1,1,456,518,31,86045.0,2026-02-17,2026-02-09,True
43c082fb-3bf6-4687-bf52-4603aff0b77e,sebastian-throne-rit,https://lambkinsfenris.wixsite.com/sebastian-throne-rit,V3,1,1,91,121,4626,83621.97,2025-12-15,2025-12-15,True
90c0f329-791b-4b1d-8cc1-c42630bc3dba,peptide-research-sel,https://cerberusresearchchem.wixsite.com/peptide-research-sel,V3,1,1,50,91,546,80899.97,2025-10-20,2025-09-22,True
25cceeb0-4b2d-4c9c-bfb0-6fcd6605f593,my-site-4,https://jolenechuang0107.wixsite.com/my-site-4,V3,1,1,3,21,137,75474.76,2026-03-06,2026-03-04,True
a10b9daa-e14d-40cb-ae34-74248649b3bb,luna-bird-crystals,https://tarawitty.wixsite.com/luna-bird-crystals,V3,1,1,4420,4450,442,75473.53,2025-07-26,2025-07-17,True
18721779-3b22-4d59-81f1-c3b59ddf1a6d,get-fit-with-bio-blu,https://patrascu36.wixsite.com/get-fit-with-bio-blu,V3,1,1,14,67,435,67335.4,2026-03-13,2026-03-13,True
f83d6cb0-ef4f-4aa4-93c7-edf8185e6a06,mysite,https://taylor64259.wixsite.com/mysite,V3,1,1,86,116,486,59304.58,2025-12-26,2025-12-13,True
6e89e08c-2f01-4157-95f1-5d0ebb5c7761,regenlab-canada,https://clarissa828.wixsite.com/regenlab-canada,V3,1,1,8,38,38,54562.47,2025-12-04,2025-11-11,True
